Item ID,Item Name,Good Type,Ingredient Category,Recipe Unit,Purchase Unit,Purchase Unit Conversion,Market Prices
1763781585716-24-ur9xfbwom,Farine T55,Food,,kg,kg,1,1763781585716-24-ur9xfbwom>Farine Blé>supplier-1761652156967>Metro Auxerre>Food>>25>kg>18.71>>>>>>>|1776436924637-g4tpccvkq>Farine T55>supplier-1761662500738>Cercle vert>Food>Bag>1>kg>0.90>Bag>1>>>>>
1763781586624-42-i55aaa7e7,HdC Poulet,Food,,,kg,,1763781586624-42-i55aaa7e7>HdC Poulet>supplier-1761663146414>Marguerite>Food>>2.5>kg>7.86>>>>>>>
1763781587037-51-g6y7ypqbv,Tahini,Food,,,kg,,1763781587037-51-g6y7ypqbv>Tahini>supplier-1761652156967>Metro Auxerre>Food>>4.5>kg>39.86>>>>>>>
1763781585334-16-fcbeu2oev,Vinaigre Balsamique,Food,Condiment,l,liter,1,1763781585334-16-fcbeu2oev>Vinaigre Balsamique>supplier-1761652156967>Metro Auxerre>Food>>5>liter>13.96>>>>>>>
1763781585716-25-wlmyreb43,Moutarde French's,Food,,,kg,,1763781585716-25-wlmyreb43>Moutarde French's>supplier-1761652156967>Metro Auxerre>Food>>2.9>kg>13.86>>>>>>>
1763781586624-43-7dqp3pv1g,Oignons jaunes,Food,Vegetable,kg,kg,1,1763781586624-43-7dqp3pv1g>Oignon Jaune>supplier-1761667267932>Saint Prim>Food>Bag>10>kg>4.71>Bag>10>>>>>|1777499658827-qxbnvzoso>Oignon Jaune>supplier-1761652156967>Metro Auxerre>Food>Bag>10>kg>4.70>Bag>1>>>>>
1763781587037-52-fwwdlma8z,Thym,Food,Condiment,kg,kg,1,1763781587037-52-fwwdlma8z>Thym>supplier-1761652156967>Metro Auxerre>Food>>0.25>kg>2.46>>>>>>>
1763781584933-8-omoj5ng7m,Corn Flakes,Food,,,kg,,1763781584933-8-omoj5ng7m>Corn Flakes>supplier-1761652156967>Metro Auxerre>Food>>0.75>kg>2.86>>>>>>>
1763781585334-17-dw5ae882w,Poivre Blanc,Food,Spice,kg,kg,1,1763781585334-17-dw5ae882w>Poivre blanc>supplier-1761652156967>Metro Auxerre>Food>>1>kg>17.36>>>>>>>
1763781585716-26-1fomytgym,Concentré Tomate,Food,Vegetable,kg,kg,1,1763781585716-26-1fomytgym>Concentré Tomate>supplier-1761652156967>Metro Auxerre>Food>>0.44>kg>1.66>>>>>>>
1763781587037-53-dprgmhv0w,Worcestershire,Food,,l,liter,1,1763781587037-53-dprgmhv0w>Worcestershire>supplier-1761652156967>Metro Auxerre>Food>>4>liter>28.14>>>>>>>|1776693501567-lhlfw3xy0>Paris - Worcester 568 Ml (4183)>supplier-1761662500738>Cercle vert>Food>Bottle>0.568>l>5.40>Bottle>1>>>>>
1763781585716-27-jtkyxttcy,Roquette,Food,Vegetable,kg,kg,1,1763781585716-27-jtkyxttcy>Roquette>supplier-1761667267932>Saint Prim>Food>>1>kg>6.46>>>>>>>|1776695560462-01eirzmag>Arena - riquette >supplier-1776677164417>M.Charraire>Food>>1>kg>8.00>>1>>>>>
1763781586624-45-kwq246929,Gingembre Moulu,Food,,,kg,,1763781586624-45-kwq246929>Gingembre Moulu>supplier-1761652156967>Metro Auxerre>Food>>0.45>kg>4.74>>>>>>>
1775289684869-8x5fbs3ok,Vin rosé - Minuty M,Beverage,Wine,l,pc,1.333,1775289684869-8x5fbs3ok>Adidas arena - Minuty M>supplier-1767860945083>Moet hennessy>Beverage>Bottle>1>pc>10.64>Carton>6>>>>>
1775289841201-x7s7e2ria,Vin blanc - Minuty Prestige,Beverage,Wine,l,pc,1.33,1775289841201-x7s7e2ria>PFC - Minuty Prestige>supplier-1767860945083>Moet hennessy>Beverage>Bottle>1>pc>12.67>Carton>6>>>>>
1775222925418-28-pwrj3uv7c,Rillettes d'oie,Food,Meat,kg,KG,1,1775222925418-28-pwrj3uv7c>RILLETTES OIE 2KG>supplier-1761652156967>Metro Auxerre>Food>>2>KG>36.65>>>>>>>
1776349934129-zf3ic5ieg,Gallia Blonde - 30L,Beverage,Beer,l,l,1,1776349934129-zf3ic5ieg>Gallia blonde 30L>supplier-1762287668036>France Boissons IDF>Beverage>Fût>30>l>112.39>Fût>30>>>>>
1776349862430-04xvzavux,Gallia IPA - 20L,Beverage,Beer,l,l,1,1776349862430-04xvzavux>Gallia IPA 20L>supplier-1762287668036>France Boissons IDF>Beverage>Fût>20>l>90.06>Fût>20>>>>>
1776349767214-wd6r7m5js,Heineken 0% - 20L,Beverage,Beer,l,l,1,1776349767214-wd6r7m5js>Heineken 0%>supplier-1762287668036>France Boissons IDF>Beverage>Fût>20>l>60.78>Fût>20>>>>>
1775200179285-jg1g2bu0i,Ail pelé,Food,Condiment,kg,kg,1,1775200179285-jg1g2bu0i>Ail pelé>supplier-1761652156967>Metro Auxerre>Food>>1>kg>6.04>>>>>>>|1776689443128-4lzks3ka9>Paris - Ail épluche 4g au kilo (4AIEPEL)>supplier-1776677164417>M.Charraire>Food>Bag>1>kg>7.69>Bag>1>>>>>
1775200322908-ubl4awzxw,Ail Semoule,Food,Condiment,kg,kg,1,1775200322908-ubl4awzxw>Ail semoule>supplier-1761652156967>Metro Auxerre>Food>>1>kg>8.40>>>1>>>>|1776691615730-ohpnjwyh4>Arena - Ail semoule 1kg>supplier-1761662500738>Cercle vert>Food>Bag>1>kg>10.40>Bag>1>>>>>
1777556015885-6zsnjzs1m,Corona,Beverage,Beer,l,l,1,1777556015885-6zsnjzs1m>Corona Fut 20 L >supplier-1762287668036>France Boissons IDF>Beverage>Fût>20>l>69.63>Fût>20>>>>>
1777556135739-tnx14s3jn,Goose Islande IPA,Beverage,Beer,l,l,1,1777556135739-tnx14s3jn>Goose Islande IPA 20L>supplier-1762287668036>France Boissons IDF>Beverage>Fût>20>l>96.78>Fût>20>>>>>
1777556603439-8go00bvzp,Tropico PET 40cl,Beverage,Soft Drink,pc,pc,1,1777556603439-8go00bvzp>Tropico PET 40cl  120560>supplier-1762287668036>France Boissons IDF>Beverage>Carton>12>pc>11.88>Carton>12>>>>>
1775200602045-wz19cmoey,Badiane,Food,Condiment,kg,kg,1,1775200602045-wz19cmoey>Badiane >supplier-1761652156967>Metro Auxerre>Food>Plastic Bag>0.5>kg>18.42>Plastic Bag>0.5>>>>>
1777556738446-szy16yik0,Fanta orange - PET 50cl,Beverage,Soft Drink,pc,pc,1,1777556738446-szy16yik0>Fanta orange PET 50 122918>supplier-1762287668036>France Boissons IDF>Beverage>Carton>12>pc>13.40>Carton>20>>>>>
1775200738009-6pct688xj,Basilic,Food,,,kg,,1775200738009-6pct688xj>Basilic botte>supplier-1761652156967>Metro Auxerre>Food>>0.15>kg>5.44>>>>>>>
1777556850662-a42hbm7y4,Sprite - PET 50cl,Beverage,Soft Drink,pc,pc,1,1777556850662-a42hbm7y4>Sprite PET 50cl 122638>supplier-1762287668036>France Boissons IDF>Beverage>Carton>12>pc>13.65>Carton>12>>>>>
1775200830007-ern3d4g89,Beurre doux motte,Food,,kg,kg,1,1775200830007-ern3d4g89>Beurre dx>supplier-1761652156967>Metro Auxerre>Food>>0.5>kg>4.89>>>>>>>|1776688385697-kztfnwsjz>Beurre doux 5kg (BEUDOUXMOT5)>supplier-1761652935093>Alazard>Food>Bag>5>kg>49.00>Bag>5>>>>>|1775222925785-43-zd0j8jrf4>BEURRE DX ROULEAU 1KG PRES PRO>supplier-1761652156967>Metro Auxerre>Food>Bag>1>kg>10.05>Bag>1>>>>>
1775200899056-3n77c4010,Paleron,Food,,,kg,,1775200899056-3n77c4010>Paleron VBF>supplier-1761652156967>Metro Auxerre>Food>>1>kg>16.90>>>>>>>
1780053822875-k673ckbnm,Wrap veggie,Food,,,pc,,1780053822875-k673ckbnm>Wrap veggie>supplier-1775199633073>Croc wich>Food>Plastic Bag>1>pc>2.45>Plastic Bag>1>>>>>
1775201001987-g49fcyc1l,Buchette sucre,Beverage,,,pc,,1775201001987-g49fcyc1l>Buchette sucre >supplier-1761652156967>Metro Auxerre>Beverage>Carton>1000>pc>11.88>Carton>1000>>1000>>>|1776436231508-hd7xwl5kk>Buchette 4G>supplier-1761662500738>Cercle vert>Beverage>Carton>1000>pc>13.69>Carton>1>>>>>
1777557939289-d8s05ncpc,Pago ananas,Beverage,Soft Drink,l,pc,1,1777557939289-d8s05ncpc>Pago ananas 6*1L>supplier-1762287668036>France Boissons IDF>Beverage>Carton>6>pc>15.84>Carton>6>>>>>
1780053915009-q7gjconu7,Maxi croque - Jambon bechamel,Food,,,pc,,1780053915009-q7gjconu7>MAXI CROQUE JAMBON BECHAMEL	>supplier-1775199633073>Croc wich>Food>>1>pc>2.60>Carton>1>>>>>|1775222924996-2-gq761jzy3>MAXI CROQUE JAMBON BECHAMEL (MMJB)>supplier-1775199633073>Croc wich>Food>>1>pc>2.45>>1>>>>>
1777558226848-bqx8qgb26,Granini - Cranberry,Beverage,Soft Drink,l,pc,1,1777558226848-bqx8qgb26>Granini Cranberry 6*1l 82419>supplier-1762287668036>France Boissons IDF>Beverage>Bottle>1>pc>2.82>Carton>6>>>>>
1775201096203-g45345uj1,Café moulu,Beverage,,kg,kg,1,1775201096203-g45345uj1>Café rioba armonisio>supplier-1761652156967>Metro Auxerre>Beverage>>1>kg>17.20>>>>>>>
1777558347548-1h8or4wam,Granini - Pomme,Beverage,Soft Drink,l,pc,1,1777558347548-1h8or4wam>Granini - Pomme 6*1L 82405>supplier-1762287668036>France Boissons IDF>Beverage>Bottle>1>pc>2.28>Carton>6>>>>>
1780054701708-07d8di8x7,Knack d’alsace,Food,Meat,pc,kg,0.08,1780054701708-07d8di8x7>Knack d'Alsace (6410804)>supplier-1775199585684>Loste>Food>Plastic Bag>1>kg>8.44>Plastic Bag>1>>>>>|1776682082674-d19wxoozz>Knack d Alsace fumee>supplier-1776682012969>Schweitzer>Food>Bag>1>kg>8.44>Bag>1>>>>>
1780054884140-x1tsf1ewh,Choucroute,Food,,,kg,,1780054884140-x1tsf1ewh>Choucroute (EPCHCRUCU)>supplier-1776677164417>M.Charraire>Food>Plastic Bag>1>kg>4.80>Plastic Bag>10>>>>>|1775201649809-9b895ulkd>Choucroute cuisinée>supplier-1761652156967>Metro Auxerre>Food>>3>kg>7.81>>>>>>>|1776437947233-khu8mbpcm>Choucroute cuisinée à la graisse d'oie 5kg>supplier-1776437642936>Beaugrain>Food>Bag>5>kg>16.15>Bag>1>>>>>|1776693653767-pjj6cxu78>Arena - choucroute cuite 10kg>supplier-1776437642936>Beaugrain>Food>Bag>1>kg>4.31>Bag>10>>>>>|1776693903715-oiv2ey9kd>Arena - choucroute cuisinée 10kg >supplier-1776759982886>Métro Paris>Food>Bag>10>kg>20.39>Bag>10>>>>>
1777558704413-f7scdc5cp,Sirop de canne,Beverage,,l,pc,1,1777558704413-f7scdc5cp>Frigolet sirop sucre de canne 1L>supplier-1762287668036>France Boissons IDF>Beverage>Bottle>1>pc>3.48>Bottle>1>>>>>
1775201469512-4pzpwzzoq,Chips - Lay's nature 45g,Food,,pc,pc,1,1775201469512-4pzpwzzoq>Lay's nature 45g>supplier-1761652156967>Metro Auxerre>Food>Carton>20>pc>15.18>Bag>1>>>>>|1776436060640-yd1ryob0r>Chips nature 45g>supplier-1761662500738>Cercle vert>Food>Bag>20>pc>12.00>Bag>20>>>>>
1775201587194-k81q2p4dd,Chou rouge émincé,Food,Vegetable,kg,kg,1,1775201587194-k81q2p4dd>Chou rouge émincé>supplier-1761652156967>Metro Auxerre>Food>>1>kg>4.61>>>>>>>|1767711693533-ada68o82u>Choux émincé>supplier-1761667267932>Saint Prim>Food>>1>kg>0.02>>>>>>>
1780056000710-vrib7s0qp,Oeuf (OvO),Food,,,l,,1780056000710-vrib7s0qp>Oeuf ovo (OEUFLIENBR1)>supplier-1761652935093>Alazard>Food>Bottle>1>l>4.95>Bottle>1>>>>>
1777558893896-6bmcni3km,Schweppes ginger beer,Beverage,Soft Drink,l,pc,1,1777558893896-6bmcni3km>Schweppes ginger beer 6*1L>supplier-1762287668036>France Boissons IDF>Beverage>Bottle>1>pc>1.82>Carton>6>>>>>
1780056425046-sm7q507q0,Ossau iraty,Food,Cheese,kg,kg,1,1780056425046-sm7q507q0>Ossau iraty AOP (OSSIRAPYF)>supplier-1761652935093>Alazard>Food>Bag>4>kg>78.67>Bag>4>>>>>
