Menu Item ID,Name,Display Name,Space,Brand Name,Type,Category,Ready for Sale,Combo Item,Number of Pieces,Is this a Promotion,Discounted Product,Promotion Type,Packaging Type,Number of units,Diet,Description,Recipe
menu-item-1764196193282-9ywdlcypl,Burger Pulled Chicken (Paris),Burger pulled chicken,Adidas Arena,EIF,Food,Burger,No,No,1.000,No,,,,,,,ing-1777050177290-qhn2noae3>Ingredient>1775222925238-17-3l8rxovab>1775222925238-17-3l8rxovab>1.000|comp-1780306467801-or3n970zo>Component>1780301397424>0.100|comp-1780306548591-catw3npl1>Component>1776765976166>0.010|comp-1780306593946-6nzm3a9fc>Component>1776764671381>0.020|comp-1780306658340-u3hj4pbbv>Component>1780301845611>0.015
menu-item-1766412467370-u2nbejjm9,Sandwich Raclette,,SFP|space-1762366011612|PFC,,Food,Sandwich,Yes,No,1.000,No,,,,,,,
menu-item-1763860356792-7pptauviy,Bonbon,,Auxerre|Le Mans FC|SFP|space-1762366011612|PFC,,Food,Snack sucré,Yes,No,1.000,No,,,,1.000,,,ing-1775245074271-sm94ylhpv>Ingredient>1775203038534-j1soo8i0s>1775203038534-j1soo8i0s>1.000
1775245432334,Saucisse Frites (Aux),Saucisse frites,Auxerre|Le Mans FC,EIF,Food,Saucisses frites,No,No,1.000,No,,,,,,,ing-1775245385534-2ty1wiky0>Ingredient>1775202848720-131h8ujkn>1775202848720-131h8ujkn>0.300|ing-1775245396617-l2vnoet7b>Ingredient>1775222925626-31-f3ttu8vc4>1775222925626-31-f3ttu8vc4>0.160|ing-1775245415084-8tnsiu607>Ingredient>1775222924995-0-y8ujycsth>1775222924995-0-y8ujycsth>1.000|ing-1775245423000-ogfe8fxcn>Ingredient>1775222924996-3-gfkf5as9l>1775222924996-3-gfkf5as9l>1.000|pkg-1775245429018-ik9punyec>Packaging>pkg-1775227685860-ueadp9b8g>1.000
menu-item-1763837605099-3ftiifnpc,Croque Monsieur Jambon,Croque monsieur jambon,space-1762366011612|SFP|Adidas Arena|PFC|Auxerre,EIF,Food,Croque,No,No,1.000,No,,,,,,,pkg-1775245475067-0yk5nn5l2>Packaging>pkg-1775227685860-ueadp9b8g>1.000|ing-1775686711971-i0zaxduor>Ingredient>1775202096453-33peb8u6c>1775202096453-33peb8u6c>1.000|ing-1779443995560-0fodapiwm>Ingredient>1779440734149-lkd1j87yn>1779440734149-lkd1j87yn>1.000
menu-item-1766421375704-x28hsp1lv,Burger tenders (Paris),Burger tenders,Adidas Arena|PFC,EIF,Food,Burger,No,No,1.000,No,,,,,,,ing-1777050432460-xgruh6odv>Ingredient>1775222925238-17-3l8rxovab>1775222925238-17-3l8rxovab>1.000|ing-1780307234492-b7kmalxwr>Ingredient>1775222925626-36-i6fdlrny1>1775222925626-36-i6fdlrny1>0.200|ing-1780307259684-4uaq2ajjt>Ingredient>1763778830789-22-a2rfqfcb3>1763778830789-22-a2rfqfcb3>1.000|comp-1780307270445-qetawc7l4>Component>1776764920237>0.020|ing-1780307297054-5stsihr2y>Ingredient>1776689210962-6jb4zzgkc>1776689210962-6jb4zzgkc>0.010|comp-1780307320063-u7yvjewow>Component>1780301845611>0.015|ing-1780307394504-8ovhua4qc>Ingredient>1776692657035-y5ahhmnhc>1776692657035-y5ahhmnhc>0.010
menu-item-1776284080197-x8gsejb2x,CUP le Mans FC,Cup personalisée,Le Mans FC,,Glasses,Ecocup,Yes,No,1.000,No,,,,,,,pkg-1776776378068-8s31h7jz8>Packaging>pkg-1775666651917-0a2l7vxbi>1.000
menu-item-1774462648045-0ztkqzov5,Empanadas Caprese X1,Empanadas caprese x1,PFC|SFP,Classico,Food,Autre food chaude,No,No,1.000,No,,,,,,,ing-1777102595901-inoscq2me>Ingredient>1776678749344-w1hmvm2ys>1776678749344-w1hmvm2ys>1.000
menu-item-1774462700823-6kcygg9na,Empanadas Carne X3,Empanadas carne x3,PFC|SFP|Adidas Arena,Classico,Food,Autre food chaude,No,No,1.000,No,,,,,,,ing-1777102863910-4vhbuw7fi>Ingredient>1776678749344-w1hmvm2ys>1776678749344-w1hmvm2ys>3.000
menu-item-1763837698814-512afqvny,Sandwich Jambon Beurre (Auxerre),Sandwich jambon beurre,Auxerre,EIF,Food,Sandwich,Yes,No,1.000,No,,,,,,,ing-1775230247345-cull3x8uj>Ingredient>1775202381714-1xftmhp11>1775202381714-1xftmhp11>1.000|ing-1775230261861-mfx8nnwx7>Ingredient>1775203665752-ygriqw6as>1775203665752-ygriqw6as>1.000|ing-1775230291828-okpm8ogw9>Ingredient>1775222925418-29-pf41xtbqa>1775222925418-29-pf41xtbqa>0.015|ing-1775230317577-pqqlr3bz2>Ingredient>1775222925785-43-zd0j8jrf4>1775222925785-43-zd0j8jrf4>0.015|ing-1775246701976-zn3la8j44>Ingredient>1775201917588-usec69tx5>1775201917588-usec69tx5>0.005
